id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Promo_1,Promo_2,Promo_3,Etiqueta Precios,País Store
10002251,Slide Stars スライド・スターズ,2024-04-02T12:38:12.903817,PS4,アクション,Go Game Pte Ltd,2021/5/26,"イタリア語, オランダ語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.8,5件の評価,40％,40％,0％,0％,20％,"¥3,630",¥544,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005599,The Jumping Burrito,2024-04-02T12:38:14.220066,PS5,"シミュレーション, シミュレーター",ThiGames,2022/11/13,英語,3.92,72件の評価,63％,7％,10％,1％,19％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10006522,The Jumping Chocolate,2024-04-02T12:38:15.562041,PS5,"シミュレーション, シミュレーター",ThiGames,2023/1/20,英語,3.97,63件の評価,65％,6％,6％,5％,17％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005900,The Jumping Coffee,2024-04-02T12:38:16.915970,PS5,"シミュレーション, シミュレーター",ThiGames,2023/1/1,英語,3.87,67件の評価,64％,6％,4％,3％,22％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10006092,The Jumping Pumpkin,2024-04-02T12:38:18.240120,PS5,"シミュレーション, シミュレーター",ThiGames,2022/9/30,英語,4.02,50件の評価,64％,10％,8％,0％,18％,¥220,¥220,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10009032,Smoots Pinball,2024-04-02T12:38:19.539990,"PS4, PS5",アーケード,JANDUSOFT S.L.,2023/11/16,"カタルーニャ語, スペイン語, 英語",3.56,9件の評価,22％,33％,33％,0％,11％,¥770,¥770,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
202133,INFERNO CLIMBER: REBORN,2024-04-02T12:38:21.025604,PS4,RPG,アークシステムワークス株式会社,2019/3/28,No hay información,3.8,50件の評価,56％,10％,6％,14％,14％,"¥1,528",¥382,No hay información,No dispone de promoción extra,"['PS4®用', False, 'No hay información', 'No hay información']",JAP
10001471,Mina & Michi PS4 & PS5,2024-04-02T12:38:22.244269,"PS4, PS5",パズル,Eastasiasoft Limited,2022/6/6,"スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 英語",4.43,42件の評価,67％,14％,14％,5％,0％,¥499,¥199,No hay información,No dispone de promoción extra,"['ゲーム本編', True, 'No hay información', 'No hay información']",JAP
10004278,Fluffy Cubed,2024-04-02T12:38:23.619063,PS4,パズル,QUBYTE INTERACTIVE,2022/8/24,英語,4,42件の評価,43％,33％,12％,5％,7％,¥440,¥440,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10000898,Worms Rumble PS4 & PS5,2024-04-02T12:38:25.107797,"PS4, PS5","シューティング, ストラテジー",Team17 Digital Ltd,2020/11/30,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.54,8524件の評価,48％,12％,10％,5％,25％,"¥1,540",¥308,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
