id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
224851,Full Throttle Remastered,2024-05-21T12:36:43.266790,PS4,"アドベンチャー, アドベンチャー",DISNEY INTERACTIVE INC,2024/3/1,No hay información,4.66,2235件の評価,79％,13％,4％,1％,2％,"¥1,760","¥1,760",No hay información,No hay otra promoción,JAP
232260,FullBlast,2024-05-21T12:36:44.422392,PS4,"アーケード, シューティング, シューティング",Eastasiasoft Limited,2020/8/21,No hay información,4.14,587件の評価,59％,15％,13％,7％,6％,¥660,¥660,No hay información,No hay otra promoción,JAP
228108,Fruit Ninja VR,2024-05-21T12:36:45.672339,PS4,アクション,Halfbrick Studios Pty Ltd,2017/3/31,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.76,1182件の評価,47％,20％,9％,7％,16％,"¥1,507","¥1,507",No hay información,No hay otra promoción,JAP
10001216,ふれあい出版局,2024-05-21T12:36:47.819272,PS4,"シミュレーション, アドベンチャー, カジュアル","KAIROSOFT CO.,LTD",2022/11/16,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.55,11件の評価,64％,27％,9％,0％,0％,"¥1,500","¥1,500",No hay información,No hay otra promoción,JAP
10010196,Freddi Fish Collection,2024-05-21T12:36:49.225249,PS4,"アドベンチャー, 教育",UFO Interactive Games,2024/5/1,英語,5,7件の評価,100％,0％,0％,0％,0％,"¥6,270","¥6,270",No hay información,No hay otra promoción,JAP
10005745,Freddi Fish 3: The Case of the Stolen Conch Shell,2024-05-21T12:36:50.442328,PS4,"アドベンチャー, 教育",UFO Interactive Games,2022/11/3,英語,5,21件の評価,100％,0％,0％,0％,0％,"¥1,870","¥1,870",No hay información,No hay otra promoción,JAP
10009082,Freddi Fish 2: The Case of The Haunted Schoolhouse,2024-05-21T12:36:51.608962,PS4,"アドベンチャー, 教育",UFO Interactive Games,2024/5/1,英語,5,4件の評価,100％,0％,0％,0％,0％,"¥1,870","¥1,870",No hay información,No hay otra promoción,JAP
10009105,Freddi Fish 5: The Case of the Creature of Coral Cove,2024-05-21T12:36:53.211693,PS4,"アドベンチャー, 教育",UFO Interactive Games,2024/5/1,英語,5,2件の評価,100％,0％,0％,0％,0％,"¥1,870","¥1,870",No hay información,No hay otra promoción,JAP
10009083,Freddi Fish 4: The Case of The Hogfish Rustlers of Briny Gulch,2024-05-21T12:36:54.367986,PS4,"アドベンチャー, 教育",UFO Interactive Games,2023/12/20,英語,5,8件の評価,100％,0％,0％,0％,0％,"¥1,870","¥1,870",No hay información,No hay otra promoción,JAP
232127,Floor Kids,2024-05-21T12:36:55.611134,PS4,リズムアクション,"9420860 Canada Inc., dba MERJ Media",2018/11/27,No hay información,4.65,95件の評価,76％,18％,4％,0％,2％,"¥2,027","¥2,027",No hay información,No hay otra promoción,JAP
