id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Promo_1,Promo_2,Promo_3,Etiqueta Precios,País Store
10005671,Rise of Fox Hero,2024-04-02T14:41:26.665975,"PS4, PS5",Adventure,2Awesome Studio  SL,2/17/2023,"Catalan, Chinese (Simplified), English, French (France), German, Italian, Japanese, Spanish",4,26 ratings,46%,27%,12%,12%,4%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10002125,Rise of the Slime,2024-04-02T14:41:28.071805,PS4,"Adventure, Strategy",PlayStack Limited,5/20/2021,English,3.91,22 ratings,59%,9%,5%,18%,9%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10000549,Ritual: Crown of Horns,2024-04-02T14:41:29.591222,PS4,"Action, Horror, Shooter",Feardemic,2/28/2020,No hay información,4.21,34 ratings,47%,38%,6%,6%,3%,$19.99,$19.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
221959,River City Melee: Battle Royal Special,2024-04-02T14:41:30.962107,PS4,"Fighting, Action, Fighting","H2 Interactive Co., Ltd.",4/28/2017,No hay información,3.92,503 ratings,58%,13%,7%,6%,16%,$24.99,$24.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
203823,Road Not Taken,2024-04-02T14:41:32.359768,PS4,Puzzle,Spry Fox,8/5/2014,No hay información,3.31,16864 ratings,33%,17%,18%,12%,20%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10006401,Roads of Time,2024-04-02T14:41:33.719681,PS4,Casual,8Floor ltd,1/23/2023,"English, French (France), German, Russian",5,2 ratings,100%,0%,0%,0%,0%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10007139,Roads of Time 2: Odyssey,2024-04-02T14:41:35.405914,PS4,Casual,8Floor ltd,3/31/2023,"English, French (France), German, Russian",0,No ratings,0%,0%,0%,0%,0%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10007322,Road Stones,2024-04-02T14:41:37.003998,PS4,Strategy,CHILIDOG INTERACTIVE LLC,2/17/2023,"English, Russian",4.25,8 ratings,75%,0%,13%,0%,13%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
232208,Road to Ballhalla,2024-04-02T14:41:38.237815,PS4,No hay información,tinyBuild GAMES,8/1/2018,No hay información,4.7,10 ratings,70%,30%,0%,0%,0%,$14.99,$14.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10000757,Road to Guangdong,2024-04-02T14:41:40.887787,PS4,"Adventure, Simulation",Excalibur Games,8/28/2020,"Chinese (Simplified), English, French (France), German, Italian, Japanese, Portuguese (Brazil), Russian, Spanish",3.34,44 ratings,34%,16%,14%,23%,14%,$19.99,$19.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
