id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
233072,Rust Console Edition,2024-02-22T15:23:35.170807,PS4,"Acción, Aventura, Juegos de disparos",Double Eleven Limited,20/5/2021,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Brasil), Ruso, Sueco",3.65,19.116 calificaciones,58 %,7 %,5 %,4 %,27 %,"49,99 €","49,99 €","49,99 €","49,99 €"
201061,Dead Island 2,2024-02-22T15:23:38.389256,"PS4, PS5","Acción, Acción",Deep Silver,20/4/2023,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso",4.4,5.952 calificaciones,67 %,20 %,6 %,3 %,5 %,"74,99 €","41,24 €",,"41,24 €"
10003485,RoboCop: Rogue City,2024-02-22T15:23:41.352606,PS5,Acción,NACON SA,2/11/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso",4.45,3.129 calificaciones,69 %,19 %,5 %,3 %,4 %,"59,99 €","59,99 €","59,99 €","59,99 €"
10005114,STAR WARS Jedi: Survivor™,2024-02-22T15:23:44.390519,PS5,Acción,EA Swiss Sarl,28/4/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil)",4.51,9.738 calificaciones,67 %,24 %,5 %,2 %,2 %,"79,99 €","71,99 €","79,99 €","71,99 €"
234363,Sniper Elite 5 PS4™ & PS5™,2024-02-22T15:23:47.871611,"PS4, PS5","Lucha, Acción",REBELLION INTERACTIVE,25/5/2022,No hay información,4.28,5.387 calificaciones,63 %,18 %,9 %,4 %,6 %,"59,99 €","23,99 €","59,99 €",Incluido
10000991,Guardianes de la Noche -Kimetsu No Yaiba- Las Crónicas de Hinokami PS4 & PS5,2024-02-22T15:23:51.200099,"PS4, PS5",Acción,SEGA EUROPE LTD,15/10/2021,"Alemán, Español, Francés (Francia), Inglés, Italiano, Japonés",4.66,10.567 calificaciones,84 %,8 %,3 %,1 %,4 %,"59,99 €","23,99 €",,"23,99 €"
200520,Bloodborne™,2024-02-22T15:23:55.167474,PS4,"Acción, Juegos de rol",Sony Interactive Entertainment Europe,24/3/2015,"Alemán, Danés, Español, Finlandés, Francés (Francia), Inglés, Italiano, Neerlandés, Noruego, Polaco, Portugués (Portugal), Ruso, Sueco, Turco",4.73,218.157 calificaciones,88 %,6 %,2 %,1 %,4 %,"19,99 €",Incluido,"19,99 €",Incluido
221694,FOR HONOR - Standard Edition,2024-02-22T15:23:57.876910,PS4,"Acción, Acción",UBISOFT ENTERTAINMENT SA,26/4/2017,"Alemán, Checo, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Portugués (Brasil)",4.06,72.988 calificaciones,63 %,13 %,6 %,3 %,15 %,"29,99 €",Incluido,"29,99 €",Incluido
232860,PUBG: BATTLEGROUNDS,2024-02-22T15:23:59.964624,PS4,"Juegos de disparos, Juegos de disparos, Juegos de disparos","KRAFTON, Inc.",6/12/2018,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Irlandés, Italiano, Japonés, Polaco, Portugués (Brasil), Portugués (Portugal), Ruso, Tailandés, Turco, Vietnamita, Árabe",3.98,136.260 calificaciones,61 %,11 %,9 %,2 %,16 %,Gratis,Gratis,Gratis,Gratis
10005985,Prince of Persia The Lost Crown,2024-02-22T15:24:03.189605,"PS4, PS5",Acción,UBISOFT ENTERTAINMENT SA,17/1/2024,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Árabe",4.47,3.238 calificaciones,74 %,12 %,5 %,2 %,6 %,"49,99 €","49,99 €","49,99 €","49,99 €"
